,orderId,session,duration,orderType,instrument,instruction,quantity,quantity,filledQuantity,status,enteredTime
79,1898273279,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '88579Y101', 'symbol': 'MMM'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:54:23+0000
80,1898273278,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G5960L103', 'symbol': 'MDT'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:54:23+0000
81,1898273273,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '254687106', 'symbol': 'DIS'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:54:20+0000
82,1898273272,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '084670702', 'symbol': 'BRK.B'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:54:20+0000
83,1898273275,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '458140100', 'symbol': 'INTC'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:54:21+0000
84,1898273274,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '438516106', 'symbol': 'HON'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:54:21+0000
85,1898273317,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '855244109', 'symbol': 'SBUX'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:04:58+0000
86,1898273316,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '88579Y101', 'symbol': 'MMM'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:04:58+0000
87,1898273319,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '91324P102', 'symbol': 'UNH'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:05:00+0000
88,1898273318,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '882508104', 'symbol': 'TXN'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:04:59+0000
89,1898273313,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '452308109', 'symbol': 'ITW'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:04:57+0000
90,1898273312,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '458140100', 'symbol': 'INTC'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:04:56+0000
91,1898273315,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G5960L103', 'symbol': 'MDT'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:04:58+0000
92,1898273314,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '478160104', 'symbol': 'JNJ'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:04:57+0000
93,1898273325,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '084670702', 'symbol': 'BRK.B'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:05:34+0000
94,1898273324,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '110122108', 'symbol': 'BMY'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:05:33+0000
95,1898273327,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '438516106', 'symbol': 'HON'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:05:35+0000
96,1898273326,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '254687106', 'symbol': 'DIS'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:05:34+0000
97,1898273321,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G1151C101', 'symbol': 'ACN'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:05:31+0000
98,1898273320,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '92826C839', 'symbol': 'V'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:05:00+0000
99,1898273323,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '038222105', 'symbol': 'AMAT'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:05:33+0000
100,1898273322,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '053015103', 'symbol': 'ADP'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:05:32+0000
101,1898273333,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '855244109', 'symbol': 'SBUX'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:05:37+0000
102,1898273332,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '88579Y101', 'symbol': 'MMM'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:05:37+0000
103,1898273335,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '91324P102', 'symbol': 'UNH'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:05:39+0000
104,1898273334,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '882508104', 'symbol': 'TXN'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:05:38+0000
105,1898273329,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '452308109', 'symbol': 'ITW'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:05:36+0000
106,1898273328,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '458140100', 'symbol': 'INTC'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:05:35+0000
107,1898273331,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G5960L103', 'symbol': 'MDT'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:05:36+0000
108,1898273330,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '478160104', 'symbol': 'JNJ'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:05:36+0000
109,1898273341,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '110122108', 'symbol': 'BMY'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:08:22+0000
110,1898273340,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '038222105', 'symbol': 'AMAT'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:08:21+0000
111,1898273343,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '254687106', 'symbol': 'DIS'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:08:23+0000
112,1898273342,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '084670702', 'symbol': 'BRK.B'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:08:22+0000
113,1898273336,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '92826C839', 'symbol': 'V'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:05:39+0000
114,1898273339,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '053015103', 'symbol': 'ADP'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:08:20+0000
